codigo_cliente;nome_cliente;idade_cliente;email_cliente
26;"Adele Weiss";92;mi.felis@libero.net
5;"Ainsley Frye";79;mi.pede.nonummy@Quisquepurussapien.com
20;"Alice I. Cleveland";80;Nulla.aliquet@faucibus.co.uk
4;"Aline Yoshimi";19;aline.y@unibanco.com.br
2;"Antonio Ricardo";25;antonio.r@unibanco.com.br
38;"Aristotle Navarro";55;vel.est.tempor@Suspendissesed.com
32;"Astra Workman";83;ipsum@luctussitamet.co.uk
72;"Athena L. Patrick";50;dolor.Quisque.tincidunt@adipiscing.edu
94;"August N. Trevino";42;risus.Nulla.eget@augue.org
99;"Brynne F. Barrett";40;lorem.fringilla@malesuadamalesuadaInteger.org
25;"Cain Church";62;risus@Inat.net
85;"Calista L. Mcconnell";28;libero@arcu.com
89;"Cameron Osborne";89;quam.dignissim.pharetra@mattis.com
24;"Camille Walter";87;semper.pretium.neque@ametconsectetuer.com
49;"Carla I. Curtis";69;eu.tellus.eu@vestibulum.org
57;"Carol Farmer";83;sem.ut.cursus@lectussit.co.uk
95;"Carson Massey";56;orci.lobortis.augue@magna.net
15;"Cecilia Hayes";48;Phasellus@elitpellentesque.co.uk
47;"Chanda Ratliff";45;Lorem.ipsum@Maurisblandit.edu
48;"Clark I. May";77;ligula.Aliquam@vehiculaaliquetlibero.ca
98;"Clarke Warren";45;elementum@necdiam.edu
43;"Colleen B. Crane";58;Phasellus.fermentum.convallis@quistristiqueac.net
7;"Colleen Simmons";60;a.purus.Duis@lacus.ca
96;"Constance Sharp";91;egestas.blandit@ideratEtiam.ca
91;"Courtney Booker";48;dictum@mi.edu
80;"Craig Cortez";77;aliquam.iaculis.lacus@consectetuer.ca
73;"Cruz Pena";31;ante.bibendum.ullamcorper@justoPraesentluctus.ca
67;"Dahlia M. Lloyd";57;dignissim.pharetra.Nam@fringilla.net
27;"Dana T. Molina";96;et.risus.Quisque@Integer.edu
55;"Demetrius B. Chase";98;magna.Phasellus.dolor@ipsumdolor.co.uk
88;"Denton V. Nixon";44;habitant.morbi.tristique@Incondimentum.net
34;"Dieter X. Johns";36;ante.blandit.viverra@Fuscefeugiat.co.uk
44;"Dillon Rivera";60;euismod.in.dolor@parturientmontes.edu
